[2025-03-29 11:57:13] INFO: Repair Start Timestamp: 2025-03-29 11:57:13.237138
[2025-03-29 11:57:13] INFO: Encode Mode: cypher
[2025-03-29 11:57:13] INFO: Example Mode: two_small
[2025-03-29 11:57:13] INFO: Repairing with Model: llama3.2
[2025-03-29 11:57:13] DEBUG: START: i0 for model 'llama3.2'
[2025-03-29 11:57:19] DEBUG: END: i0 for model 'llama3.2'
[2025-03-29 11:57:19] DEBUG: START: i1 for model 'llama3.2'
[2025-03-29 11:57:20] DEBUG: END: i1 for model 'llama3.2'
[2025-03-29 11:57:20] DEBUG: START: i2 for model 'llama3.2'
[2025-03-29 11:57:21] DEBUG: END: i2 for model 'llama3.2'
[2025-03-29 11:57:21] DEBUG: START: i3 for model 'llama3.2'
[2025-03-29 11:57:23] DEBUG: END: i3 for model 'llama3.2'
[2025-03-29 11:57:23] DEBUG: START: i4 for model 'llama3.2'
[2025-03-29 11:57:24] DEBUG: END: i4 for model 'llama3.2'
[2025-03-29 11:57:24] DEBUG: START: i5 for model 'llama3.2'
[2025-03-29 11:57:25] DEBUG: END: i5 for model 'llama3.2'
[2025-03-29 11:57:25] DEBUG: START: i6 for model 'llama3.2'
[2025-03-29 11:57:27] DEBUG: END: i6 for model 'llama3.2'
[2025-03-29 11:57:27] DEBUG: START: i7 for model 'llama3.2'
[2025-03-29 11:57:28] DEBUG: END: i7 for model 'llama3.2'
[2025-03-29 11:57:28] DEBUG: START: i8 for model 'llama3.2'
[2025-03-29 11:57:29] DEBUG: END: i8 for model 'llama3.2'
[2025-03-29 11:57:29] DEBUG: START: i9 for model 'llama3.2'
[2025-03-29 11:57:30] DEBUG: END: i9 for model 'llama3.2'
[2025-03-29 11:57:30] DEBUG: START: i10 for model 'llama3.2'
[2025-03-29 11:57:32] DEBUG: END: i10 for model 'llama3.2'
[2025-03-29 11:57:32] DEBUG: START: i11 for model 'llama3.2'
[2025-03-29 11:57:33] DEBUG: END: i11 for model 'llama3.2'
[2025-03-29 11:57:33] DEBUG: START: i12 for model 'llama3.2'
[2025-03-29 11:57:35] DEBUG: END: i12 for model 'llama3.2'
[2025-03-29 11:57:35] DEBUG: START: i13 for model 'llama3.2'
[2025-03-29 11:57:36] DEBUG: END: i13 for model 'llama3.2'
[2025-03-29 11:57:36] DEBUG: START: i14 for model 'llama3.2'
[2025-03-29 11:57:37] DEBUG: END: i14 for model 'llama3.2'
[2025-03-29 11:57:37] DEBUG: START: i15 for model 'llama3.2'
[2025-03-29 11:57:38] DEBUG: END: i15 for model 'llama3.2'
[2025-03-29 11:57:38] DEBUG: START: i16 for model 'llama3.2'
[2025-03-29 11:57:39] DEBUG: END: i16 for model 'llama3.2'
[2025-03-29 11:57:39] DEBUG: START: i17 for model 'llama3.2'
[2025-03-29 11:57:40] DEBUG: END: i17 for model 'llama3.2'
[2025-03-29 11:57:40] DEBUG: START: i18 for model 'llama3.2'
[2025-03-29 11:57:41] DEBUG: END: i18 for model 'llama3.2'
[2025-03-29 11:57:41] DEBUG: START: i19 for model 'llama3.2'
[2025-03-29 11:57:43] DEBUG: END: i19 for model 'llama3.2'
[2025-03-29 11:57:43] DEBUG: START: i20 for model 'llama3.2'
[2025-03-29 11:57:44] DEBUG: END: i20 for model 'llama3.2'
[2025-03-29 11:57:44] DEBUG: START: i21 for model 'llama3.2'
[2025-03-29 11:57:45] DEBUG: END: i21 for model 'llama3.2'
[2025-03-29 11:57:45] DEBUG: START: i22 for model 'llama3.2'
[2025-03-29 11:57:46] DEBUG: END: i22 for model 'llama3.2'
[2025-03-29 11:57:46] DEBUG: START: i23 for model 'llama3.2'
[2025-03-29 11:57:49] DEBUG: END: i23 for model 'llama3.2'
[2025-03-29 11:57:49] DEBUG: START: i24 for model 'llama3.2'
[2025-03-29 11:57:51] DEBUG: END: i24 for model 'llama3.2'
[2025-03-29 11:57:51] DEBUG: START: i25 for model 'llama3.2'
[2025-03-29 11:57:52] DEBUG: END: i25 for model 'llama3.2'
[2025-03-29 11:57:52] DEBUG: START: i26 for model 'llama3.2'
[2025-03-29 11:57:54] DEBUG: END: i26 for model 'llama3.2'
[2025-03-29 11:57:54] DEBUG: START: i27 for model 'llama3.2'
[2025-03-29 11:57:55] DEBUG: END: i27 for model 'llama3.2'
[2025-03-29 11:57:55] DEBUG: START: i28 for model 'llama3.2'
[2025-03-29 11:57:56] DEBUG: END: i28 for model 'llama3.2'
[2025-03-29 11:57:56] DEBUG: START: i29 for model 'llama3.2'
[2025-03-29 11:57:57] DEBUG: END: i29 for model 'llama3.2'
[2025-03-29 11:57:57] DEBUG: START: i30 for model 'llama3.2'
[2025-03-29 11:57:58] DEBUG: END: i30 for model 'llama3.2'
[2025-03-29 11:57:58] DEBUG: START: i31 for model 'llama3.2'
[2025-03-29 11:58:00] DEBUG: END: i31 for model 'llama3.2'
[2025-03-29 11:58:00] DEBUG: START: i32 for model 'llama3.2'
[2025-03-29 11:58:01] DEBUG: END: i32 for model 'llama3.2'
[2025-03-29 11:58:01] DEBUG: START: i33 for model 'llama3.2'
[2025-03-29 11:58:02] DEBUG: END: i33 for model 'llama3.2'
[2025-03-29 11:58:02] DEBUG: START: i34 for model 'llama3.2'
[2025-03-29 11:58:03] DEBUG: END: i34 for model 'llama3.2'
[2025-03-29 11:58:03] DEBUG: START: i35 for model 'llama3.2'
[2025-03-29 11:58:04] DEBUG: END: i35 for model 'llama3.2'
[2025-03-29 11:58:04] DEBUG: START: i36 for model 'llama3.2'
[2025-03-29 11:58:05] DEBUG: END: i36 for model 'llama3.2'
[2025-03-29 11:58:05] DEBUG: START: i37 for model 'llama3.2'
[2025-03-29 11:58:07] DEBUG: END: i37 for model 'llama3.2'
[2025-03-29 11:58:07] DEBUG: START: i38 for model 'llama3.2'
[2025-03-29 11:58:08] DEBUG: END: i38 for model 'llama3.2'
[2025-03-29 11:58:08] DEBUG: START: i39 for model 'llama3.2'
[2025-03-29 11:58:10] DEBUG: END: i39 for model 'llama3.2'
[2025-03-29 11:58:10] DEBUG: START: i40 for model 'llama3.2'
[2025-03-29 11:58:11] DEBUG: END: i40 for model 'llama3.2'
[2025-03-29 11:58:11] DEBUG: START: i41 for model 'llama3.2'
[2025-03-29 11:58:12] DEBUG: END: i41 for model 'llama3.2'
[2025-03-29 11:58:12] DEBUG: START: i42 for model 'llama3.2'
[2025-03-29 11:58:14] DEBUG: END: i42 for model 'llama3.2'
[2025-03-29 11:58:14] DEBUG: START: i43 for model 'llama3.2'
[2025-03-29 11:58:15] DEBUG: END: i43 for model 'llama3.2'
[2025-03-29 11:58:15] DEBUG: START: i44 for model 'llama3.2'
[2025-03-29 11:58:16] DEBUG: END: i44 for model 'llama3.2'
[2025-03-29 11:58:16] DEBUG: START: i45 for model 'llama3.2'
[2025-03-29 11:58:17] DEBUG: END: i45 for model 'llama3.2'
[2025-03-29 11:58:17] DEBUG: START: i46 for model 'llama3.2'
[2025-03-29 11:58:18] DEBUG: END: i46 for model 'llama3.2'
[2025-03-29 11:58:18] DEBUG: START: i47 for model 'llama3.2'
[2025-03-29 11:58:19] DEBUG: END: i47 for model 'llama3.2'
[2025-03-29 11:58:19] DEBUG: START: i48 for model 'llama3.2'
[2025-03-29 11:58:20] DEBUG: END: i48 for model 'llama3.2'
[2025-03-29 11:58:20] DEBUG: START: i49 for model 'llama3.2'
[2025-03-29 11:58:22] DEBUG: END: i49 for model 'llama3.2'
[2025-03-29 11:58:22] DEBUG: START: i50 for model 'llama3.2'
[2025-03-29 11:58:23] DEBUG: END: i50 for model 'llama3.2'
[2025-03-29 11:58:23] DEBUG: START: i51 for model 'llama3.2'
[2025-03-29 11:58:24] DEBUG: END: i51 for model 'llama3.2'
[2025-03-29 11:58:24] DEBUG: START: i52 for model 'llama3.2'
[2025-03-29 11:58:25] DEBUG: END: i52 for model 'llama3.2'
[2025-03-29 11:58:25] DEBUG: START: i53 for model 'llama3.2'
[2025-03-29 11:58:27] DEBUG: END: i53 for model 'llama3.2'
[2025-03-29 11:58:27] DEBUG: START: i54 for model 'llama3.2'
[2025-03-29 11:58:28] DEBUG: END: i54 for model 'llama3.2'
[2025-03-29 11:58:28] DEBUG: START: i55 for model 'llama3.2'
[2025-03-29 11:58:29] DEBUG: END: i55 for model 'llama3.2'
[2025-03-29 11:58:29] DEBUG: START: i56 for model 'llama3.2'
[2025-03-29 11:58:30] DEBUG: END: i56 for model 'llama3.2'
[2025-03-29 11:58:30] DEBUG: START: i57 for model 'llama3.2'
[2025-03-29 11:58:32] DEBUG: END: i57 for model 'llama3.2'
[2025-03-29 11:58:32] DEBUG: START: i58 for model 'llama3.2'
[2025-03-29 11:58:33] DEBUG: END: i58 for model 'llama3.2'
[2025-03-29 11:58:33] DEBUG: START: i59 for model 'llama3.2'
[2025-03-29 11:58:34] DEBUG: END: i59 for model 'llama3.2'
[2025-03-29 11:58:34] DEBUG: START: i60 for model 'llama3.2'
[2025-03-29 11:58:35] DEBUG: END: i60 for model 'llama3.2'
[2025-03-29 11:58:35] DEBUG: START: i61 for model 'llama3.2'
[2025-03-29 11:58:37] DEBUG: END: i61 for model 'llama3.2'
[2025-03-29 11:58:37] DEBUG: START: i62 for model 'llama3.2'
[2025-03-29 11:58:43] DEBUG: END: i62 for model 'llama3.2'
[2025-03-29 11:58:43] DEBUG: START: i63 for model 'llama3.2'
[2025-03-29 11:58:44] DEBUG: END: i63 for model 'llama3.2'
[2025-03-29 11:58:44] DEBUG: START: i64 for model 'llama3.2'
[2025-03-29 11:58:45] DEBUG: END: i64 for model 'llama3.2'
[2025-03-29 11:58:45] DEBUG: START: i65 for model 'llama3.2'
[2025-03-29 11:58:47] DEBUG: END: i65 for model 'llama3.2'
[2025-03-29 11:58:47] DEBUG: START: i66 for model 'llama3.2'
[2025-03-29 11:58:48] DEBUG: END: i66 for model 'llama3.2'
[2025-03-29 11:58:48] DEBUG: START: i67 for model 'llama3.2'
[2025-03-29 11:58:49] DEBUG: END: i67 for model 'llama3.2'
[2025-03-29 11:58:49] DEBUG: START: i68 for model 'llama3.2'
[2025-03-29 11:59:05] DEBUG: END: i68 for model 'llama3.2'
[2025-03-29 11:59:05] DEBUG: START: i69 for model 'llama3.2'
[2025-03-29 11:59:06] DEBUG: END: i69 for model 'llama3.2'
[2025-03-29 11:59:06] DEBUG: START: i70 for model 'llama3.2'
[2025-03-29 11:59:07] DEBUG: END: i70 for model 'llama3.2'
[2025-03-29 11:59:07] DEBUG: START: i71 for model 'llama3.2'
[2025-03-29 11:59:08] DEBUG: END: i71 for model 'llama3.2'
[2025-03-29 11:59:08] DEBUG: START: i72 for model 'llama3.2'
[2025-03-29 11:59:10] DEBUG: END: i72 for model 'llama3.2'
[2025-03-29 11:59:10] DEBUG: START: i73 for model 'llama3.2'
[2025-03-29 11:59:11] DEBUG: END: i73 for model 'llama3.2'
[2025-03-29 11:59:11] DEBUG: START: i74 for model 'llama3.2'
[2025-03-29 11:59:12] DEBUG: END: i74 for model 'llama3.2'
[2025-03-29 11:59:12] DEBUG: START: i75 for model 'llama3.2'
[2025-03-29 11:59:13] DEBUG: END: i75 for model 'llama3.2'
[2025-03-29 11:59:13] DEBUG: START: i76 for model 'llama3.2'
[2025-03-29 11:59:15] DEBUG: END: i76 for model 'llama3.2'
[2025-03-29 11:59:15] DEBUG: START: i77 for model 'llama3.2'
[2025-03-29 11:59:16] DEBUG: END: i77 for model 'llama3.2'
[2025-03-29 11:59:16] DEBUG: START: i78 for model 'llama3.2'
[2025-03-29 11:59:17] DEBUG: END: i78 for model 'llama3.2'
[2025-03-29 11:59:17] DEBUG: START: i79 for model 'llama3.2'
[2025-03-29 11:59:19] DEBUG: END: i79 for model 'llama3.2'
[2025-03-29 11:59:19] DEBUG: START: i80 for model 'llama3.2'
[2025-03-29 11:59:20] DEBUG: END: i80 for model 'llama3.2'
[2025-03-29 11:59:20] DEBUG: START: i81 for model 'llama3.2'
[2025-03-29 11:59:22] DEBUG: END: i81 for model 'llama3.2'
[2025-03-29 11:59:22] DEBUG: START: i82 for model 'llama3.2'
[2025-03-29 11:59:23] DEBUG: END: i82 for model 'llama3.2'
[2025-03-29 11:59:23] DEBUG: START: i83 for model 'llama3.2'
[2025-03-29 11:59:24] DEBUG: END: i83 for model 'llama3.2'
[2025-03-29 11:59:24] DEBUG: START: i84 for model 'llama3.2'
[2025-03-29 11:59:25] DEBUG: END: i84 for model 'llama3.2'
[2025-03-29 11:59:25] DEBUG: START: i85 for model 'llama3.2'
[2025-03-29 11:59:26] DEBUG: END: i85 for model 'llama3.2'
[2025-03-29 11:59:26] DEBUG: START: i86 for model 'llama3.2'
[2025-03-29 11:59:29] DEBUG: END: i86 for model 'llama3.2'
[2025-03-29 11:59:29] DEBUG: START: i87 for model 'llama3.2'
[2025-03-29 11:59:30] DEBUG: END: i87 for model 'llama3.2'
[2025-03-29 11:59:30] DEBUG: START: i88 for model 'llama3.2'
[2025-03-29 12:00:59] DEBUG: END: i88 for model 'llama3.2'
[2025-03-29 12:00:59] DEBUG: START: i89 for model 'llama3.2'
[2025-03-29 12:01:01] DEBUG: END: i89 for model 'llama3.2'
[2025-03-29 12:01:01] DEBUG: START: i90 for model 'llama3.2'
