[2025-03-31 00:44:17] INFO: Repair Start Timestamp: 2025-03-31 00:44:17.923071
[2025-03-31 00:44:17] INFO: Encode Mode: llm
[2025-03-31 00:44:17] INFO: Example Mode: two_small
[2025-03-31 00:44:17] INFO: LLM Encoding Model: deepseek-r1
[2025-03-31 00:44:17] INFO: Repairing with Model: llama3.2
[2025-03-31 00:44:17] DEBUG: START: i0 for model 'llama3.2'
[2025-03-31 00:44:23] DEBUG: END: i0 for model 'llama3.2'
[2025-03-31 00:44:23] DEBUG: START: i1 for model 'llama3.2'
[2025-03-31 00:44:25] DEBUG: END: i1 for model 'llama3.2'
[2025-03-31 00:44:25] DEBUG: START: i2 for model 'llama3.2'
[2025-03-31 00:44:27] DEBUG: END: i2 for model 'llama3.2'
[2025-03-31 00:44:27] DEBUG: START: i3 for model 'llama3.2'
[2025-03-31 00:44:28] DEBUG: END: i3 for model 'llama3.2'
[2025-03-31 00:44:28] DEBUG: START: i4 for model 'llama3.2'
[2025-03-31 00:44:29] DEBUG: END: i4 for model 'llama3.2'
[2025-03-31 00:44:29] DEBUG: START: i5 for model 'llama3.2'
[2025-03-31 00:44:31] DEBUG: END: i5 for model 'llama3.2'
[2025-03-31 00:44:31] DEBUG: START: i6 for model 'llama3.2'
[2025-03-31 00:44:32] DEBUG: END: i6 for model 'llama3.2'
[2025-03-31 00:44:32] DEBUG: START: i7 for model 'llama3.2'
[2025-03-31 00:44:34] DEBUG: END: i7 for model 'llama3.2'
[2025-03-31 00:44:34] DEBUG: START: i8 for model 'llama3.2'
[2025-03-31 00:44:35] DEBUG: END: i8 for model 'llama3.2'
[2025-03-31 00:44:35] DEBUG: START: i9 for model 'llama3.2'
[2025-03-31 00:44:36] DEBUG: END: i9 for model 'llama3.2'
[2025-03-31 00:44:36] DEBUG: START: i10 for model 'llama3.2'
[2025-03-31 00:44:38] DEBUG: END: i10 for model 'llama3.2'
[2025-03-31 00:44:38] DEBUG: START: i11 for model 'llama3.2'
[2025-03-31 00:44:39] DEBUG: END: i11 for model 'llama3.2'
[2025-03-31 00:44:39] DEBUG: START: i12 for model 'llama3.2'
[2025-03-31 00:44:40] DEBUG: END: i12 for model 'llama3.2'
[2025-03-31 00:44:40] DEBUG: START: i13 for model 'llama3.2'
[2025-03-31 00:44:41] DEBUG: END: i13 for model 'llama3.2'
[2025-03-31 00:44:41] DEBUG: START: i14 for model 'llama3.2'
[2025-03-31 00:44:43] DEBUG: END: i14 for model 'llama3.2'
[2025-03-31 00:44:43] DEBUG: START: i15 for model 'llama3.2'
[2025-03-31 00:44:44] DEBUG: END: i15 for model 'llama3.2'
[2025-03-31 00:44:44] DEBUG: START: i16 for model 'llama3.2'
[2025-03-31 00:44:46] DEBUG: END: i16 for model 'llama3.2'
[2025-03-31 00:44:46] DEBUG: START: i17 for model 'llama3.2'
[2025-03-31 00:44:47] DEBUG: END: i17 for model 'llama3.2'
[2025-03-31 00:44:47] DEBUG: START: i18 for model 'llama3.2'
[2025-03-31 00:44:48] DEBUG: END: i18 for model 'llama3.2'
[2025-03-31 00:44:48] DEBUG: START: i19 for model 'llama3.2'
[2025-03-31 00:44:51] DEBUG: END: i19 for model 'llama3.2'
[2025-03-31 00:44:51] DEBUG: START: i20 for model 'llama3.2'
[2025-03-31 00:44:52] DEBUG: END: i20 for model 'llama3.2'
[2025-03-31 00:44:52] DEBUG: START: i21 for model 'llama3.2'
[2025-03-31 00:44:55] DEBUG: END: i21 for model 'llama3.2'
[2025-03-31 00:44:55] DEBUG: START: i22 for model 'llama3.2'
[2025-03-31 00:44:56] DEBUG: END: i22 for model 'llama3.2'
[2025-03-31 00:44:56] DEBUG: START: i23 for model 'llama3.2'
[2025-03-31 00:44:57] DEBUG: END: i23 for model 'llama3.2'
[2025-03-31 00:44:57] DEBUG: START: i24 for model 'llama3.2'
[2025-03-31 00:45:01] DEBUG: END: i24 for model 'llama3.2'
[2025-03-31 00:45:01] DEBUG: START: i25 for model 'llama3.2'
[2025-03-31 00:45:02] DEBUG: END: i25 for model 'llama3.2'
[2025-03-31 00:45:02] DEBUG: START: i26 for model 'llama3.2'
[2025-03-31 00:45:05] DEBUG: END: i26 for model 'llama3.2'
[2025-03-31 00:45:05] DEBUG: START: i27 for model 'llama3.2'
[2025-03-31 00:45:06] DEBUG: END: i27 for model 'llama3.2'
[2025-03-31 00:45:06] DEBUG: START: i28 for model 'llama3.2'
[2025-03-31 00:45:08] DEBUG: END: i28 for model 'llama3.2'
[2025-03-31 00:45:08] DEBUG: START: i29 for model 'llama3.2'
[2025-03-31 00:45:10] DEBUG: END: i29 for model 'llama3.2'
[2025-03-31 00:45:10] DEBUG: START: i30 for model 'llama3.2'
[2025-03-31 00:45:11] DEBUG: END: i30 for model 'llama3.2'
[2025-03-31 00:45:11] DEBUG: START: i31 for model 'llama3.2'
[2025-03-31 00:45:12] DEBUG: END: i31 for model 'llama3.2'
[2025-03-31 00:45:12] DEBUG: START: i32 for model 'llama3.2'
[2025-03-31 00:45:13] DEBUG: END: i32 for model 'llama3.2'
[2025-03-31 00:45:13] DEBUG: START: i33 for model 'llama3.2'
[2025-03-31 00:45:15] DEBUG: END: i33 for model 'llama3.2'
[2025-03-31 00:45:15] DEBUG: START: i34 for model 'llama3.2'
[2025-03-31 00:45:16] DEBUG: END: i34 for model 'llama3.2'
[2025-03-31 00:45:16] DEBUG: START: i35 for model 'llama3.2'
[2025-03-31 00:45:17] DEBUG: END: i35 for model 'llama3.2'
[2025-03-31 00:45:17] DEBUG: START: i36 for model 'llama3.2'
[2025-03-31 00:45:18] DEBUG: END: i36 for model 'llama3.2'
[2025-03-31 00:45:18] DEBUG: START: i37 for model 'llama3.2'
[2025-03-31 00:45:21] DEBUG: END: i37 for model 'llama3.2'
[2025-03-31 00:45:21] DEBUG: START: i38 for model 'llama3.2'
[2025-03-31 00:45:23] DEBUG: END: i38 for model 'llama3.2'
[2025-03-31 00:45:23] DEBUG: START: i39 for model 'llama3.2'
[2025-03-31 00:45:25] DEBUG: END: i39 for model 'llama3.2'
[2025-03-31 00:45:25] DEBUG: START: i40 for model 'llama3.2'
[2025-03-31 00:45:25] DEBUG: END: i40 for model 'llama3.2'
[2025-03-31 00:45:25] DEBUG: START: i41 for model 'llama3.2'
[2025-03-31 00:45:27] DEBUG: END: i41 for model 'llama3.2'
[2025-03-31 00:45:27] DEBUG: START: i42 for model 'llama3.2'
[2025-03-31 00:45:28] DEBUG: END: i42 for model 'llama3.2'
[2025-03-31 00:45:28] DEBUG: START: i43 for model 'llama3.2'
[2025-03-31 00:45:30] DEBUG: END: i43 for model 'llama3.2'
[2025-03-31 00:45:30] DEBUG: START: i44 for model 'llama3.2'
[2025-03-31 00:45:32] DEBUG: END: i44 for model 'llama3.2'
[2025-03-31 00:45:32] DEBUG: START: i45 for model 'llama3.2'
[2025-03-31 00:45:33] DEBUG: END: i45 for model 'llama3.2'
[2025-03-31 00:45:33] DEBUG: START: i46 for model 'llama3.2'
[2025-03-31 00:45:35] DEBUG: END: i46 for model 'llama3.2'
[2025-03-31 00:45:35] DEBUG: START: i47 for model 'llama3.2'
[2025-03-31 00:45:37] DEBUG: END: i47 for model 'llama3.2'
[2025-03-31 00:45:37] DEBUG: START: i48 for model 'llama3.2'
[2025-03-31 00:45:38] DEBUG: END: i48 for model 'llama3.2'
[2025-03-31 00:45:38] DEBUG: START: i49 for model 'llama3.2'
[2025-03-31 00:45:39] DEBUG: END: i49 for model 'llama3.2'
[2025-03-31 00:45:39] DEBUG: START: i50 for model 'llama3.2'
[2025-03-31 00:45:41] DEBUG: END: i50 for model 'llama3.2'
[2025-03-31 00:45:41] DEBUG: START: i51 for model 'llama3.2'
[2025-03-31 00:45:42] DEBUG: END: i51 for model 'llama3.2'
[2025-03-31 00:45:42] DEBUG: START: i52 for model 'llama3.2'
[2025-03-31 00:45:46] DEBUG: END: i52 for model 'llama3.2'
[2025-03-31 00:45:46] DEBUG: START: i53 for model 'llama3.2'
[2025-03-31 00:45:47] DEBUG: END: i53 for model 'llama3.2'
[2025-03-31 00:45:47] DEBUG: START: i54 for model 'llama3.2'
[2025-03-31 00:45:49] DEBUG: END: i54 for model 'llama3.2'
[2025-03-31 00:45:49] DEBUG: START: i55 for model 'llama3.2'
[2025-03-31 00:45:50] DEBUG: END: i55 for model 'llama3.2'
[2025-03-31 00:45:50] DEBUG: START: i56 for model 'llama3.2'
[2025-03-31 00:45:52] DEBUG: END: i56 for model 'llama3.2'
[2025-03-31 00:45:52] DEBUG: START: i57 for model 'llama3.2'
[2025-03-31 00:45:54] DEBUG: END: i57 for model 'llama3.2'
[2025-03-31 00:45:54] DEBUG: START: i58 for model 'llama3.2'
[2025-03-31 00:45:55] DEBUG: END: i58 for model 'llama3.2'
[2025-03-31 00:45:55] DEBUG: START: i59 for model 'llama3.2'
[2025-03-31 00:45:56] DEBUG: END: i59 for model 'llama3.2'
[2025-03-31 00:45:56] DEBUG: START: i60 for model 'llama3.2'
[2025-03-31 00:45:57] DEBUG: END: i60 for model 'llama3.2'
[2025-03-31 00:45:57] DEBUG: START: i61 for model 'llama3.2'
[2025-03-31 00:46:01] DEBUG: END: i61 for model 'llama3.2'
[2025-03-31 00:46:01] DEBUG: START: i62 for model 'llama3.2'
[2025-03-31 00:46:02] DEBUG: END: i62 for model 'llama3.2'
[2025-03-31 00:46:02] DEBUG: START: i63 for model 'llama3.2'
[2025-03-31 00:46:05] DEBUG: END: i63 for model 'llama3.2'
[2025-03-31 00:46:05] DEBUG: START: i64 for model 'llama3.2'
[2025-03-31 00:46:07] DEBUG: END: i64 for model 'llama3.2'
[2025-03-31 00:46:07] DEBUG: START: i65 for model 'llama3.2'
[2025-03-31 00:46:08] DEBUG: END: i65 for model 'llama3.2'
[2025-03-31 00:46:08] DEBUG: START: i66 for model 'llama3.2'
[2025-03-31 00:46:10] DEBUG: END: i66 for model 'llama3.2'
