[2025-03-30 18:41:28] INFO: Repair Start Timestamp: 2025-03-30 18:41:28.601425
[2025-03-30 18:41:28] INFO: Encode Mode: llm
[2025-03-30 18:41:28] INFO: Example Mode: two_small
[2025-03-30 18:41:28] INFO: LLM Encoding Model: phi4
[2025-03-30 18:41:28] INFO: Repairing with Model: llama3.2
[2025-03-30 18:41:28] DEBUG: START: i0 for model 'llama3.2'
[2025-03-30 18:41:35] DEBUG: END: i0 for model 'llama3.2'
[2025-03-30 18:41:35] DEBUG: START: i1 for model 'llama3.2'
[2025-03-30 18:41:37] DEBUG: END: i1 for model 'llama3.2'
[2025-03-30 18:41:37] DEBUG: START: i2 for model 'llama3.2'
[2025-03-30 18:41:39] DEBUG: END: i2 for model 'llama3.2'
[2025-03-30 18:41:39] DEBUG: START: i3 for model 'llama3.2'
[2025-03-30 18:41:41] DEBUG: END: i3 for model 'llama3.2'
[2025-03-30 18:41:41] DEBUG: START: i4 for model 'llama3.2'
[2025-03-30 18:41:42] DEBUG: END: i4 for model 'llama3.2'
[2025-03-30 18:41:42] DEBUG: START: i5 for model 'llama3.2'
[2025-03-30 18:41:43] DEBUG: END: i5 for model 'llama3.2'
[2025-03-30 18:41:43] DEBUG: START: i6 for model 'llama3.2'
[2025-03-30 18:41:45] DEBUG: END: i6 for model 'llama3.2'
[2025-03-30 18:41:45] DEBUG: START: i7 for model 'llama3.2'
[2025-03-30 18:41:47] DEBUG: END: i7 for model 'llama3.2'
[2025-03-30 18:41:47] DEBUG: START: i8 for model 'llama3.2'
[2025-03-30 18:41:48] DEBUG: END: i8 for model 'llama3.2'
[2025-03-30 18:41:48] DEBUG: START: i9 for model 'llama3.2'
[2025-03-30 18:41:51] DEBUG: END: i9 for model 'llama3.2'
[2025-03-30 18:41:51] DEBUG: START: i10 for model 'llama3.2'
[2025-03-30 18:41:53] DEBUG: END: i10 for model 'llama3.2'
[2025-03-30 18:41:53] DEBUG: START: i11 for model 'llama3.2'
[2025-03-30 18:41:54] DEBUG: END: i11 for model 'llama3.2'
[2025-03-30 18:41:54] DEBUG: START: i12 for model 'llama3.2'
[2025-03-30 18:41:57] DEBUG: END: i12 for model 'llama3.2'
[2025-03-30 18:41:57] DEBUG: START: i13 for model 'llama3.2'
[2025-03-30 18:42:00] DEBUG: END: i13 for model 'llama3.2'
[2025-03-30 18:42:00] DEBUG: START: i14 for model 'llama3.2'
[2025-03-30 18:42:02] DEBUG: END: i14 for model 'llama3.2'
[2025-03-30 18:42:02] DEBUG: START: i15 for model 'llama3.2'
[2025-03-30 18:42:04] DEBUG: END: i15 for model 'llama3.2'
[2025-03-30 18:42:04] DEBUG: START: i16 for model 'llama3.2'
[2025-03-30 18:42:08] DEBUG: END: i16 for model 'llama3.2'
[2025-03-30 18:42:08] DEBUG: START: i17 for model 'llama3.2'
[2025-03-30 18:42:10] DEBUG: END: i17 for model 'llama3.2'
[2025-03-30 18:42:10] DEBUG: START: i18 for model 'llama3.2'
[2025-03-30 18:42:14] DEBUG: END: i18 for model 'llama3.2'
[2025-03-30 18:42:14] DEBUG: START: i19 for model 'llama3.2'
[2025-03-30 18:42:16] DEBUG: END: i19 for model 'llama3.2'
[2025-03-30 18:42:16] DEBUG: START: i20 for model 'llama3.2'
[2025-03-30 18:42:18] DEBUG: END: i20 for model 'llama3.2'
[2025-03-30 18:42:18] DEBUG: START: i21 for model 'llama3.2'
[2025-03-30 18:42:20] DEBUG: END: i21 for model 'llama3.2'
[2025-03-30 18:42:20] DEBUG: START: i22 for model 'llama3.2'
[2025-03-30 18:42:31] DEBUG: END: i22 for model 'llama3.2'
[2025-03-30 18:42:31] DEBUG: START: i23 for model 'llama3.2'
[2025-03-30 18:42:34] DEBUG: END: i23 for model 'llama3.2'
[2025-03-30 18:42:34] DEBUG: START: i24 for model 'llama3.2'
[2025-03-30 18:42:36] DEBUG: END: i24 for model 'llama3.2'
[2025-03-30 18:42:36] DEBUG: START: i25 for model 'llama3.2'
[2025-03-30 18:42:38] DEBUG: END: i25 for model 'llama3.2'
[2025-03-30 18:42:38] DEBUG: START: i26 for model 'llama3.2'
[2025-03-30 18:42:39] DEBUG: END: i26 for model 'llama3.2'
[2025-03-30 18:42:39] DEBUG: START: i27 for model 'llama3.2'
[2025-03-30 18:42:41] DEBUG: END: i27 for model 'llama3.2'
[2025-03-30 18:42:41] DEBUG: START: i28 for model 'llama3.2'
[2025-03-30 18:42:42] DEBUG: END: i28 for model 'llama3.2'
[2025-03-30 18:42:42] DEBUG: START: i29 for model 'llama3.2'
[2025-03-30 18:42:44] DEBUG: END: i29 for model 'llama3.2'
[2025-03-30 18:42:44] DEBUG: START: i30 for model 'llama3.2'
[2025-03-30 18:42:46] DEBUG: END: i30 for model 'llama3.2'
[2025-03-30 18:42:46] DEBUG: START: i31 for model 'llama3.2'
[2025-03-30 18:42:47] DEBUG: END: i31 for model 'llama3.2'
[2025-03-30 18:42:47] DEBUG: START: i32 for model 'llama3.2'
[2025-03-30 18:42:48] DEBUG: END: i32 for model 'llama3.2'
[2025-03-30 18:42:48] DEBUG: START: i33 for model 'llama3.2'
[2025-03-30 18:42:49] DEBUG: END: i33 for model 'llama3.2'
[2025-03-30 18:42:49] DEBUG: START: i34 for model 'llama3.2'
[2025-03-30 18:42:51] DEBUG: END: i34 for model 'llama3.2'
[2025-03-30 18:42:51] DEBUG: START: i35 for model 'llama3.2'
[2025-03-30 18:42:53] DEBUG: END: i35 for model 'llama3.2'
[2025-03-30 18:42:53] DEBUG: START: i36 for model 'llama3.2'
[2025-03-30 18:42:58] DEBUG: END: i36 for model 'llama3.2'
[2025-03-30 18:42:58] DEBUG: START: i37 for model 'llama3.2'
[2025-03-30 18:43:01] DEBUG: END: i37 for model 'llama3.2'
[2025-03-30 18:43:01] DEBUG: START: i38 for model 'llama3.2'
[2025-03-30 18:43:02] DEBUG: END: i38 for model 'llama3.2'
[2025-03-30 18:43:02] DEBUG: START: i39 for model 'llama3.2'
[2025-03-30 18:43:03] DEBUG: END: i39 for model 'llama3.2'
[2025-03-30 18:43:03] DEBUG: START: i40 for model 'llama3.2'
[2025-03-30 18:43:05] DEBUG: END: i40 for model 'llama3.2'
[2025-03-30 18:43:05] DEBUG: START: i41 for model 'llama3.2'
[2025-03-30 18:43:06] DEBUG: END: i41 for model 'llama3.2'
[2025-03-30 18:43:06] DEBUG: START: i42 for model 'llama3.2'
[2025-03-30 18:43:08] DEBUG: END: i42 for model 'llama3.2'
