[2025-03-30 23:21:15] INFO: Repair Start Timestamp: 2025-03-30 23:21:15.181840
[2025-03-30 23:21:15] INFO: Encode Mode: llm
[2025-03-30 23:21:15] INFO: Example Mode: two_small
[2025-03-30 23:21:15] INFO: LLM Encoding Model: qwen2.5
[2025-03-30 23:21:15] INFO: Repairing with Model: llama3.2
[2025-03-30 23:21:15] DEBUG: START: i0 for model 'llama3.2'
[2025-03-30 23:21:25] DEBUG: END: i0 for model 'llama3.2'
[2025-03-30 23:21:25] DEBUG: START: i1 for model 'llama3.2'
[2025-03-30 23:21:26] DEBUG: END: i1 for model 'llama3.2'
[2025-03-30 23:21:26] DEBUG: START: i2 for model 'llama3.2'
[2025-03-30 23:21:27] DEBUG: END: i2 for model 'llama3.2'
[2025-03-30 23:21:27] DEBUG: START: i3 for model 'llama3.2'
[2025-03-30 23:21:28] DEBUG: END: i3 for model 'llama3.2'
[2025-03-30 23:21:28] DEBUG: START: i4 for model 'llama3.2'
[2025-03-30 23:21:29] DEBUG: END: i4 for model 'llama3.2'
[2025-03-30 23:21:29] DEBUG: START: i5 for model 'llama3.2'
[2025-03-30 23:21:31] DEBUG: END: i5 for model 'llama3.2'
[2025-03-30 23:21:31] DEBUG: START: i6 for model 'llama3.2'
[2025-03-30 23:21:34] DEBUG: END: i6 for model 'llama3.2'
[2025-03-30 23:21:34] DEBUG: START: i7 for model 'llama3.2'
[2025-03-30 23:21:35] DEBUG: END: i7 for model 'llama3.2'
[2025-03-30 23:21:35] DEBUG: START: i8 for model 'llama3.2'
[2025-03-30 23:21:37] DEBUG: END: i8 for model 'llama3.2'
[2025-03-30 23:21:37] DEBUG: START: i9 for model 'llama3.2'
[2025-03-30 23:21:38] DEBUG: END: i9 for model 'llama3.2'
[2025-03-30 23:21:38] DEBUG: START: i10 for model 'llama3.2'
[2025-03-30 23:21:41] DEBUG: END: i10 for model 'llama3.2'
[2025-03-30 23:21:41] DEBUG: START: i11 for model 'llama3.2'
[2025-03-30 23:21:42] DEBUG: END: i11 for model 'llama3.2'
[2025-03-30 23:21:42] DEBUG: START: i12 for model 'llama3.2'
[2025-03-30 23:21:44] DEBUG: END: i12 for model 'llama3.2'
[2025-03-30 23:21:44] DEBUG: START: i13 for model 'llama3.2'
[2025-03-30 23:21:46] DEBUG: END: i13 for model 'llama3.2'
[2025-03-30 23:21:46] DEBUG: START: i14 for model 'llama3.2'
[2025-03-30 23:21:47] DEBUG: END: i14 for model 'llama3.2'
[2025-03-30 23:21:47] DEBUG: START: i15 for model 'llama3.2'
[2025-03-30 23:21:48] DEBUG: END: i15 for model 'llama3.2'
[2025-03-30 23:21:48] DEBUG: START: i16 for model 'llama3.2'
[2025-03-30 23:21:50] DEBUG: END: i16 for model 'llama3.2'
[2025-03-30 23:21:50] DEBUG: START: i17 for model 'llama3.2'
[2025-03-30 23:21:52] DEBUG: END: i17 for model 'llama3.2'
[2025-03-30 23:21:52] DEBUG: START: i18 for model 'llama3.2'
[2025-03-30 23:21:53] DEBUG: END: i18 for model 'llama3.2'
[2025-03-30 23:21:53] DEBUG: START: i19 for model 'llama3.2'
[2025-03-30 23:21:56] DEBUG: END: i19 for model 'llama3.2'
[2025-03-30 23:21:56] DEBUG: START: i20 for model 'llama3.2'
[2025-03-30 23:21:57] DEBUG: END: i20 for model 'llama3.2'
[2025-03-30 23:21:57] DEBUG: START: i21 for model 'llama3.2'
[2025-03-30 23:21:59] DEBUG: END: i21 for model 'llama3.2'
[2025-03-30 23:21:59] DEBUG: START: i22 for model 'llama3.2'
[2025-03-30 23:22:00] DEBUG: END: i22 for model 'llama3.2'
[2025-03-30 23:22:00] DEBUG: START: i23 for model 'llama3.2'
[2025-03-30 23:22:01] DEBUG: END: i23 for model 'llama3.2'
[2025-03-30 23:22:01] DEBUG: START: i24 for model 'llama3.2'
[2025-03-30 23:22:03] DEBUG: END: i24 for model 'llama3.2'
[2025-03-30 23:22:03] DEBUG: START: i25 for model 'llama3.2'
[2025-03-30 23:22:04] DEBUG: END: i25 for model 'llama3.2'
[2025-03-30 23:22:04] DEBUG: START: i26 for model 'llama3.2'
[2025-03-30 23:22:05] DEBUG: END: i26 for model 'llama3.2'
[2025-03-30 23:22:05] DEBUG: START: i27 for model 'llama3.2'
[2025-03-30 23:22:07] DEBUG: END: i27 for model 'llama3.2'
[2025-03-30 23:22:07] DEBUG: START: i28 for model 'llama3.2'
[2025-03-30 23:22:09] DEBUG: END: i28 for model 'llama3.2'
[2025-03-30 23:22:09] DEBUG: START: i29 for model 'llama3.2'
[2025-03-30 23:22:11] DEBUG: END: i29 for model 'llama3.2'
[2025-03-30 23:22:11] DEBUG: START: i30 for model 'llama3.2'
[2025-03-30 23:22:13] DEBUG: END: i30 for model 'llama3.2'
[2025-03-30 23:22:13] DEBUG: START: i31 for model 'llama3.2'
[2025-03-30 23:22:15] DEBUG: END: i31 for model 'llama3.2'
[2025-03-30 23:22:15] DEBUG: START: i32 for model 'llama3.2'
[2025-03-30 23:22:17] DEBUG: END: i32 for model 'llama3.2'
[2025-03-30 23:22:17] DEBUG: START: i33 for model 'llama3.2'
[2025-03-30 23:22:18] DEBUG: END: i33 for model 'llama3.2'
[2025-03-30 23:22:18] DEBUG: START: i34 for model 'llama3.2'
[2025-03-30 23:22:22] DEBUG: END: i34 for model 'llama3.2'
[2025-03-30 23:22:22] DEBUG: START: i35 for model 'llama3.2'
[2025-03-30 23:22:24] DEBUG: END: i35 for model 'llama3.2'
[2025-03-30 23:22:24] DEBUG: START: i36 for model 'llama3.2'
[2025-03-30 23:22:25] DEBUG: END: i36 for model 'llama3.2'
[2025-03-30 23:22:25] DEBUG: START: i37 for model 'llama3.2'
[2025-03-30 23:22:27] DEBUG: END: i37 for model 'llama3.2'
[2025-03-30 23:22:27] DEBUG: START: i38 for model 'llama3.2'
[2025-03-30 23:22:28] DEBUG: END: i38 for model 'llama3.2'
[2025-03-30 23:22:28] DEBUG: START: i39 for model 'llama3.2'
[2025-03-30 23:22:29] DEBUG: END: i39 for model 'llama3.2'
[2025-03-30 23:22:29] DEBUG: START: i40 for model 'llama3.2'
[2025-03-30 23:22:31] DEBUG: END: i40 for model 'llama3.2'
[2025-03-30 23:22:31] DEBUG: START: i41 for model 'llama3.2'
[2025-03-30 23:22:35] DEBUG: END: i41 for model 'llama3.2'
[2025-03-30 23:22:35] DEBUG: START: i42 for model 'llama3.2'
[2025-03-30 23:22:36] DEBUG: END: i42 for model 'llama3.2'
[2025-03-30 23:22:36] DEBUG: START: i43 for model 'llama3.2'
[2025-03-30 23:22:37] DEBUG: END: i43 for model 'llama3.2'
[2025-03-30 23:22:37] DEBUG: START: i44 for model 'llama3.2'
[2025-03-30 23:22:39] DEBUG: END: i44 for model 'llama3.2'
[2025-03-30 23:22:39] DEBUG: START: i45 for model 'llama3.2'
[2025-03-30 23:22:40] DEBUG: END: i45 for model 'llama3.2'
[2025-03-30 23:22:40] DEBUG: START: i46 for model 'llama3.2'
[2025-03-30 23:22:43] DEBUG: END: i46 for model 'llama3.2'
[2025-03-30 23:22:43] DEBUG: START: i47 for model 'llama3.2'
[2025-03-30 23:22:45] DEBUG: END: i47 for model 'llama3.2'
[2025-03-30 23:22:45] DEBUG: START: i48 for model 'llama3.2'
[2025-03-30 23:22:47] DEBUG: END: i48 for model 'llama3.2'
[2025-03-30 23:22:47] DEBUG: START: i49 for model 'llama3.2'
[2025-03-30 23:22:49] DEBUG: END: i49 for model 'llama3.2'
[2025-03-30 23:22:49] DEBUG: START: i50 for model 'llama3.2'
[2025-03-30 23:22:50] DEBUG: END: i50 for model 'llama3.2'
[2025-03-30 23:22:50] DEBUG: START: i51 for model 'llama3.2'
[2025-03-30 23:22:51] DEBUG: END: i51 for model 'llama3.2'
[2025-03-30 23:22:51] DEBUG: START: i52 for model 'llama3.2'
[2025-03-30 23:22:52] DEBUG: END: i52 for model 'llama3.2'
[2025-03-30 23:22:52] DEBUG: START: i53 for model 'llama3.2'
[2025-03-30 23:22:53] DEBUG: END: i53 for model 'llama3.2'
[2025-03-30 23:22:53] DEBUG: START: i54 for model 'llama3.2'
[2025-03-30 23:22:54] DEBUG: END: i54 for model 'llama3.2'
[2025-03-30 23:22:54] DEBUG: START: i55 for model 'llama3.2'
[2025-03-30 23:22:56] DEBUG: END: i55 for model 'llama3.2'
[2025-03-30 23:22:56] DEBUG: START: i56 for model 'llama3.2'
[2025-03-30 23:22:57] DEBUG: END: i56 for model 'llama3.2'
[2025-03-30 23:22:57] DEBUG: START: i57 for model 'llama3.2'
[2025-03-30 23:22:59] DEBUG: END: i57 for model 'llama3.2'
[2025-03-30 23:22:59] DEBUG: START: i58 for model 'llama3.2'
[2025-03-30 23:23:01] DEBUG: END: i58 for model 'llama3.2'
[2025-03-30 23:23:01] DEBUG: START: i59 for model 'llama3.2'
[2025-03-30 23:23:02] DEBUG: END: i59 for model 'llama3.2'
[2025-03-30 23:23:02] DEBUG: START: i60 for model 'llama3.2'
[2025-03-30 23:23:03] DEBUG: END: i60 for model 'llama3.2'
[2025-03-30 23:23:03] DEBUG: START: i61 for model 'llama3.2'
[2025-03-30 23:23:05] DEBUG: END: i61 for model 'llama3.2'
[2025-03-30 23:23:05] DEBUG: START: i62 for model 'llama3.2'
[2025-03-30 23:23:06] DEBUG: END: i62 for model 'llama3.2'
[2025-03-30 23:23:06] DEBUG: START: i63 for model 'llama3.2'
[2025-03-30 23:23:08] DEBUG: END: i63 for model 'llama3.2'
[2025-03-30 23:23:08] DEBUG: START: i64 for model 'llama3.2'
[2025-03-30 23:23:09] DEBUG: END: i64 for model 'llama3.2'
[2025-03-30 23:23:09] DEBUG: START: i65 for model 'llama3.2'
[2025-03-30 23:23:11] DEBUG: END: i65 for model 'llama3.2'
[2025-03-30 23:23:11] DEBUG: START: i66 for model 'llama3.2'
[2025-03-30 23:23:13] DEBUG: END: i66 for model 'llama3.2'
[2025-03-30 23:23:13] DEBUG: START: i67 for model 'llama3.2'
[2025-03-30 23:23:15] DEBUG: END: i67 for model 'llama3.2'
[2025-03-30 23:23:15] DEBUG: START: i68 for model 'llama3.2'
[2025-03-30 23:23:18] DEBUG: END: i68 for model 'llama3.2'
[2025-03-30 23:23:18] DEBUG: START: i69 for model 'llama3.2'
[2025-03-30 23:23:20] DEBUG: END: i69 for model 'llama3.2'
[2025-03-30 23:23:20] DEBUG: START: i70 for model 'llama3.2'
[2025-03-30 23:23:22] DEBUG: END: i70 for model 'llama3.2'
[2025-03-30 23:23:22] DEBUG: START: i71 for model 'llama3.2'
[2025-03-30 23:23:23] DEBUG: END: i71 for model 'llama3.2'
[2025-03-30 23:23:23] DEBUG: START: i72 for model 'llama3.2'
[2025-03-30 23:23:25] DEBUG: END: i72 for model 'llama3.2'
[2025-03-30 23:23:25] DEBUG: START: i73 for model 'llama3.2'
[2025-03-30 23:23:26] DEBUG: END: i73 for model 'llama3.2'
[2025-03-30 23:23:26] DEBUG: START: i74 for model 'llama3.2'
[2025-03-30 23:23:28] DEBUG: END: i74 for model 'llama3.2'
[2025-03-30 23:23:28] DEBUG: START: i75 for model 'llama3.2'
[2025-03-30 23:23:30] DEBUG: END: i75 for model 'llama3.2'
[2025-03-30 23:23:30] DEBUG: START: i76 for model 'llama3.2'
[2025-03-30 23:23:31] DEBUG: END: i76 for model 'llama3.2'
[2025-03-30 23:23:31] DEBUG: START: i77 for model 'llama3.2'
[2025-03-30 23:23:33] DEBUG: END: i77 for model 'llama3.2'
[2025-03-30 23:23:33] DEBUG: START: i78 for model 'llama3.2'
[2025-03-30 23:23:35] DEBUG: END: i78 for model 'llama3.2'
[2025-03-30 23:23:35] DEBUG: START: i79 for model 'llama3.2'
[2025-03-30 23:23:36] DEBUG: END: i79 for model 'llama3.2'
[2025-03-30 23:23:36] DEBUG: START: i80 for model 'llama3.2'
[2025-03-30 23:23:38] DEBUG: END: i80 for model 'llama3.2'
[2025-03-30 23:23:38] DEBUG: START: i81 for model 'llama3.2'
[2025-03-30 23:23:39] DEBUG: END: i81 for model 'llama3.2'
[2025-03-30 23:23:39] DEBUG: START: i82 for model 'llama3.2'
[2025-03-30 23:23:40] DEBUG: END: i82 for model 'llama3.2'
[2025-03-30 23:23:40] DEBUG: START: i83 for model 'llama3.2'
[2025-03-30 23:23:42] DEBUG: END: i83 for model 'llama3.2'
[2025-03-30 23:23:42] DEBUG: START: i84 for model 'llama3.2'
[2025-03-30 23:23:44] DEBUG: END: i84 for model 'llama3.2'
[2025-03-30 23:23:44] DEBUG: START: i85 for model 'llama3.2'
[2025-03-30 23:23:45] DEBUG: END: i85 for model 'llama3.2'
[2025-03-30 23:23:45] DEBUG: START: i86 for model 'llama3.2'
[2025-03-30 23:23:47] DEBUG: END: i86 for model 'llama3.2'
[2025-03-30 23:23:47] DEBUG: START: i87 for model 'llama3.2'
[2025-03-30 23:23:48] DEBUG: END: i87 for model 'llama3.2'
[2025-03-30 23:23:48] DEBUG: START: i88 for model 'llama3.2'
[2025-03-30 23:23:50] DEBUG: END: i88 for model 'llama3.2'
[2025-03-30 23:23:50] DEBUG: START: i89 for model 'llama3.2'
[2025-03-30 23:23:51] DEBUG: END: i89 for model 'llama3.2'
