[2025-03-29 10:48:11] INFO: Repair Start Timestamp: 2025-03-29 10:48:11.171231
[2025-03-29 10:48:11] INFO: Encode Mode: template
[2025-03-29 10:48:11] INFO: Example Mode: none
[2025-03-29 10:48:11] INFO: Repairing with Model: llama3.2
[2025-03-29 10:48:11] DEBUG: START: i0 for model 'llama3.2'
[2025-03-29 10:48:17] DEBUG: END: i0 for model 'llama3.2'
[2025-03-29 10:48:17] DEBUG: START: i1 for model 'llama3.2'
[2025-03-29 10:48:18] DEBUG: END: i1 for model 'llama3.2'
[2025-03-29 10:48:18] DEBUG: START: i2 for model 'llama3.2'
[2025-03-29 10:48:20] DEBUG: END: i2 for model 'llama3.2'
[2025-03-29 10:48:20] DEBUG: START: i3 for model 'llama3.2'
[2025-03-29 10:48:20] DEBUG: END: i3 for model 'llama3.2'
[2025-03-29 10:48:20] DEBUG: START: i4 for model 'llama3.2'
[2025-03-29 10:48:21] DEBUG: END: i4 for model 'llama3.2'
[2025-03-29 10:48:21] DEBUG: START: i5 for model 'llama3.2'
[2025-03-29 10:48:22] DEBUG: END: i5 for model 'llama3.2'
[2025-03-29 10:48:22] DEBUG: START: i6 for model 'llama3.2'
[2025-03-29 10:48:23] DEBUG: END: i6 for model 'llama3.2'
[2025-03-29 10:48:23] DEBUG: START: i7 for model 'llama3.2'
[2025-03-29 10:49:41] DEBUG: END: i7 for model 'llama3.2'
[2025-03-29 10:49:41] DEBUG: START: i8 for model 'llama3.2'
[2025-03-29 10:49:43] DEBUG: END: i8 for model 'llama3.2'
[2025-03-29 10:49:43] DEBUG: START: i9 for model 'llama3.2'
[2025-03-29 10:49:44] DEBUG: END: i9 for model 'llama3.2'
[2025-03-29 10:49:44] DEBUG: START: i10 for model 'llama3.2'
[2025-03-29 10:49:45] DEBUG: END: i10 for model 'llama3.2'
[2025-03-29 10:49:45] DEBUG: START: i11 for model 'llama3.2'
[2025-03-29 10:49:46] DEBUG: END: i11 for model 'llama3.2'
[2025-03-29 10:49:46] DEBUG: START: i12 for model 'llama3.2'
[2025-03-29 10:49:47] DEBUG: END: i12 for model 'llama3.2'
[2025-03-29 10:49:47] DEBUG: START: i13 for model 'llama3.2'
[2025-03-29 10:49:48] DEBUG: END: i13 for model 'llama3.2'
[2025-03-29 10:49:48] DEBUG: START: i14 for model 'llama3.2'
[2025-03-29 10:49:49] DEBUG: END: i14 for model 'llama3.2'
[2025-03-29 10:49:49] DEBUG: START: i15 for model 'llama3.2'
[2025-03-29 10:49:49] DEBUG: END: i15 for model 'llama3.2'
[2025-03-29 10:49:49] DEBUG: START: i16 for model 'llama3.2'
[2025-03-29 10:49:50] DEBUG: END: i16 for model 'llama3.2'
[2025-03-29 10:49:50] DEBUG: START: i17 for model 'llama3.2'
[2025-03-29 10:49:51] DEBUG: END: i17 for model 'llama3.2'
[2025-03-29 10:49:51] DEBUG: START: i18 for model 'llama3.2'
[2025-03-29 10:49:52] DEBUG: END: i18 for model 'llama3.2'
[2025-03-29 10:49:52] DEBUG: START: i19 for model 'llama3.2'
[2025-03-29 10:49:53] DEBUG: END: i19 for model 'llama3.2'
[2025-03-29 10:49:53] DEBUG: START: i20 for model 'llama3.2'
[2025-03-29 10:49:54] DEBUG: END: i20 for model 'llama3.2'
[2025-03-29 10:49:54] DEBUG: START: i21 for model 'llama3.2'
[2025-03-29 10:49:54] DEBUG: END: i21 for model 'llama3.2'
[2025-03-29 10:49:54] DEBUG: START: i22 for model 'llama3.2'
[2025-03-29 10:49:56] DEBUG: END: i22 for model 'llama3.2'
[2025-03-29 10:49:56] DEBUG: START: i23 for model 'llama3.2'
[2025-03-29 10:49:57] DEBUG: END: i23 for model 'llama3.2'
[2025-03-29 10:49:57] DEBUG: START: i24 for model 'llama3.2'
[2025-03-29 10:49:58] DEBUG: END: i24 for model 'llama3.2'
[2025-03-29 10:49:58] DEBUG: START: i25 for model 'llama3.2'
[2025-03-29 10:49:59] DEBUG: END: i25 for model 'llama3.2'
[2025-03-29 10:49:59] DEBUG: START: i26 for model 'llama3.2'
[2025-03-29 10:50:00] DEBUG: END: i26 for model 'llama3.2'
[2025-03-29 10:50:00] DEBUG: START: i27 for model 'llama3.2'
[2025-03-29 10:50:01] DEBUG: END: i27 for model 'llama3.2'
[2025-03-29 10:50:01] DEBUG: START: i28 for model 'llama3.2'
[2025-03-29 10:50:04] DEBUG: END: i28 for model 'llama3.2'
[2025-03-29 10:50:04] DEBUG: START: i29 for model 'llama3.2'
[2025-03-29 10:50:05] DEBUG: END: i29 for model 'llama3.2'
[2025-03-29 10:50:05] DEBUG: START: i30 for model 'llama3.2'
[2025-03-29 10:50:07] DEBUG: END: i30 for model 'llama3.2'
[2025-03-29 10:50:07] DEBUG: START: i31 for model 'llama3.2'
[2025-03-29 10:50:08] DEBUG: END: i31 for model 'llama3.2'
[2025-03-29 10:50:08] DEBUG: START: i32 for model 'llama3.2'
[2025-03-29 10:50:09] DEBUG: END: i32 for model 'llama3.2'
[2025-03-29 10:50:09] DEBUG: START: i33 for model 'llama3.2'
[2025-03-29 10:50:11] DEBUG: END: i33 for model 'llama3.2'
[2025-03-29 10:50:11] DEBUG: START: i34 for model 'llama3.2'
[2025-03-29 10:50:11] DEBUG: END: i34 for model 'llama3.2'
[2025-03-29 10:50:11] DEBUG: START: i35 for model 'llama3.2'
[2025-03-29 10:50:12] DEBUG: END: i35 for model 'llama3.2'
[2025-03-29 10:50:12] DEBUG: START: i36 for model 'llama3.2'
[2025-03-29 10:50:13] DEBUG: END: i36 for model 'llama3.2'
[2025-03-29 10:50:13] DEBUG: START: i37 for model 'llama3.2'
[2025-03-29 10:50:14] DEBUG: END: i37 for model 'llama3.2'
[2025-03-29 10:50:14] DEBUG: START: i38 for model 'llama3.2'
[2025-03-29 10:50:15] DEBUG: END: i38 for model 'llama3.2'
[2025-03-29 10:50:15] DEBUG: START: i39 for model 'llama3.2'
[2025-03-29 10:50:17] DEBUG: END: i39 for model 'llama3.2'
[2025-03-29 10:50:17] DEBUG: START: i40 for model 'llama3.2'
[2025-03-29 10:50:17] DEBUG: END: i40 for model 'llama3.2'
[2025-03-29 10:50:17] DEBUG: START: i41 for model 'llama3.2'
[2025-03-29 10:50:18] DEBUG: END: i41 for model 'llama3.2'
[2025-03-29 10:50:18] DEBUG: START: i42 for model 'llama3.2'
[2025-03-29 10:50:19] DEBUG: END: i42 for model 'llama3.2'
[2025-03-29 10:50:19] DEBUG: START: i43 for model 'llama3.2'
